Date	Time	CongHt
10/3/15	1:45	11.23
10/3/15	2:00	11.35
10/3/15	2:15	11.47
10/3/15	2:30	11.58
10/3/15	2:45	11.68
10/3/15	3:00	11.8
10/3/15	3:15	11.9
10/3/15	3:30	12.01
10/3/15	3:45	12.1
10/3/15	4:00	12.2
10/3/15	4:15	12.28
10/3/15	4:30	12.38
10/3/15	4:45	12.46
10/3/15	5:00	12.55
10/3/15	5:15	12.63
10/3/15	5:30	12.71
10/3/15	5:45	12.77
10/3/15	6:00	12.86
10/3/15	6:15	12.91
10/3/15	6:30	12.98
10/3/15	6:45	13.04
10/3/15	7:00	13.09
10/3/15	7:15	13.16
10/3/15	7:30	13.21
10/3/15	7:45	13.26
10/3/15	8:00	13.32
10/3/15	8:15	13.37
10/3/15	8:30	13.4
10/3/15	8:45	13.45
10/3/15	9:00	13.52
10/3/15	9:15	13.54
10/3/15	9:30	13.58
10/3/15	9:45	13.63
10/3/15	10:00	13.66
10/3/15	10:15	13.7
10/3/15	10:30	13.74
10/3/15	10:45	13.79
10/3/15	11:00	13.81
10/3/15	11:15	13.85
10/3/15	11:30	13.89
10/3/15	11:45	13.92
10/3/15	12:00	13.95
10/3/15	12:15	13.97
10/3/15	12:30	14.01
10/3/15	12:45	14.04
10/3/15	13:00	14.07
10/3/15	13:15	14.1
10/3/15	13:30	14.13
10/3/15	13:45	14.15
10/3/15	14:00	14.18
10/3/15	14:15	14.2
10/3/15	14:30	14.23
10/3/15	14:45	14.25
10/3/15	15:00	14.28
10/3/15	15:15	14.31
10/3/15	15:30	14.34
10/3/15	15:45	14.36
10/3/15	16:00	14.39
10/3/15	16:15	14.41
10/3/15	16:30	14.44
10/3/15	16:45	14.46
10/3/15	17:00	14.49
10/3/15	17:15	14.52
10/3/15	17:30	14.55
10/3/15	17:45	14.57
10/3/15	18:00	14.61
10/3/15	18:15	14.63
10/3/15	18:30	14.65
10/3/15	18:45	14.68
10/3/15	19:00	14.71
10/3/15	19:15	14.75
10/3/15	19:30	14.78
10/3/15	19:45	14.81
10/3/15	20:00	14.85
10/3/15	20:15	14.89
10/3/15	20:30	14.92
10/3/15	20:45	14.96
10/3/15	21:00	14.99
10/3/15	21:15	15.04
10/3/15	21:30	15.09
10/3/15	21:45	15.12
10/3/15	22:00	15.19
10/3/15	22:15	15.25
10/3/15	22:30	15.31
10/3/15	22:45	15.35
10/3/15	23:00	15.4
10/3/15	23:15	15.44
10/3/15	23:30	15.48
10/3/15	23:45	15.53
10/4/15	0:00	15.58
10/4/15	0:15	15.6
10/4/15	0:30	15.67
10/4/15	0:45	15.73
10/4/15	1:00	15.79
10/4/15	1:15	15.87
10/4/15	1:30	15.91
10/4/15	1:45	15.93
10/4/15	2:00	16
10/4/15	2:15	16.04
10/4/15	2:30	16.08
10/4/15	2:45	16.12
10/4/15	3:00	16.15
10/4/15	3:15	16.19
10/4/15	3:30	16.21
10/4/15	3:45	16.25
10/4/15	4:00	16.28
10/4/15	4:15	16.31
10/4/15	4:30	16.33
10/4/15	4:45	16.37
10/4/15	5:00	16.38
10/4/15	5:15	16.42
10/4/15	5:30	16.43
10/4/15	5:45	16.47
10/4/15	6:00	16.49
10/4/15	6:15	16.52
10/4/15	6:30	16.54
10/4/15	6:45	16.57
10/4/15	7:00	16.59
10/4/15	7:15	16.62
10/4/15	7:30	16.64
10/4/15	7:45	16.66
10/4/15	8:00	16.69
10/4/15	8:15	16.71
10/4/15	8:30	16.72
10/4/15	8:45	16.76
10/4/15	9:00	16.78
10/4/15	9:15	16.8
10/4/15	9:30	16.83
10/4/15	9:45	16.84
10/4/15	10:00	16.85
10/4/15	10:15	16.87
10/4/15	10:30	16.89
10/4/15	10:45	16.91
10/4/15	11:00	16.93
10/4/15	11:15	16.94
10/4/15	11:30	16.95
10/4/15	11:45	16.97
10/4/15	12:00	16.97
10/4/15	12:15	17.01
10/4/15	12:30	17.01
